File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\WarpSuite.java,125,104,72,9,20,1,1,7,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\WarpSuitePlayer.java,125,94,55,15,17,0,14,78,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\commands\GoPlayersOwnWarp.java,92,79,46,14,11,0,2,14,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\commands\SetPlayersOwnWarp.java,63,50,32,10,12,0,1,3,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\commands\WarpSuiteCommand.java,54,43,28,4,11,0,0,0,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\listeners\EntityDamageByEntityListener.java,62,53,31,6,7,0,2,2,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\listeners\PlayerMoveListener.java,31,25,16,1,6,0,0,0,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\managers\PendingWarpManager.java,38,29,17,3,9,0,0,0,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\managers\PlayerManager.java,126,108,65,12,17,0,1,8,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\managers\WarpManager.java,100,81,55,11,19,0,0,0,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\permissions\NumeralPermissions.java,39,30,18,6,9,0,0,0,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\permissions\Permissions.java,54,38,12,2,12,0,4,4,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\util\Coloring.java,27,21,9,1,6,0,0,0,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\util\Config.java,36,31,25,0,5,0,0,0,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\util\MyConfig.java,59,47,35,5,10,0,2,11,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\util\SimpleLocation.java,85,70,44,11,15,0,0,0,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\util\Util.java,138,117,65,16,20,0,1,6,0,0
E:\Programming\Git\WarpSuite\WarpSuite\WarpSuite\src\com\mrz\dyndns\server\warpsuite\util\WorldLoader.java,36,27,15,2,8,0,1,2,0,0
